Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/11/20,AQS,60731017,1,0.9,ppm,10,San Diego -Rancho Carmel Drive,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.985442,-117.08218
1/12/20,AQS,60731017,1,1,ppm,11,San Diego -Rancho Carmel Drive,24,100,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.985442,-117.08218
1/13/20,AQS,60731017,1,1.6,ppm,18,San Diego -Rancho Carmel Drive,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.985442,-117.08218
1/14/20,AQS,60731017,1,1.1,ppm,13,San Diego -Rancho Carmel Drive,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.985442,-117.08218
1/15/20,AQS,60731017,1,1.2,ppm,14,San Diego -Rancho Carmel Drive,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.985442,-117.08218
1/16/20,AQS,60731017,1,1.6,ppm,18,San Diego -Rancho Carmel Drive,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.985442,-117.08218
1/17/20,AQS,60731017,1,0.8,ppm,9,San Diego -Rancho Carmel Drive,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.985442,-117.08218
1/18/20,AQS,60731017,1,1.3,ppm,15,San Diego -Rancho Carmel Drive,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.985442,-117.08218
1/19/20,AQS,60731017,1,1.7,ppm,19,San Diego -Rancho Carmel Drive,24,100,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.985442,-117.08218
1/20/20,AQS,60731017,1,1,ppm,11,San Diego -Rancho Carmel Drive,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.985442,-117.08218
1/21/20,AQS,60731017,1,0.7,ppm,8,San Diego -Rancho Carmel Drive,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.985442,-117.08218
1/22/20,AQS,60731017,1,0.7,ppm,8,San Diego -Rancho Carmel Drive,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.985442,-117.08218
1/23/20,AQS,60731017,1,0.9,ppm,10,San Diego -Rancho Carmel Drive,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.985442,-117.08218
1/24/20,AQS,60731017,1,0.9,ppm,10,San Diego -Rancho Carmel Drive,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.985442,-117.08218
